    Number of iterations       Error on mobility      Error on occupancy                Mobility               MeanOccup          Solution check
                   10000                       1           4.7684953e-07            0.0021424723            0.0023148224           3.7968922e-11
                   20000           5.2800181e-07           2.3301641e-07              0.00213116            0.0023148191           2.2860975e-11
                   30000           2.4712342e-07           1.8595119e-07            0.0021258934            0.0023148196           1.8257627e-11
                   40000           1.7163125e-07           1.4845443e-07            0.0021222447            0.0023148175           1.4583074e-11
                   50000           1.3274632e-07           1.1856565e-07            0.0021194275            0.0023148159            1.165119e-11
                   60000           1.0537644e-07           9.4719227e-08            0.0021171942            0.0023148258           9.3112972e-12
                   70000           8.4158186e-08           7.5690737e-08            0.0021154124            0.0023148371           7.4433892e-12
                   80000           6.7377912e-08           6.0517112e-08             0.002113987            0.0023148215           5.9513073e-12
                   90000           5.3889672e-08            4.838656e-08            0.0021128478            0.0023148307           4.7598517e-12
                  100000            4.315739e-08           3.8699866e-08             0.002111936            0.0023148368           3.8079074e-12
                  100001            4.315739e-08           3.8698978e-08             0.002111936            0.0023148369           3.8078231e-12
