    Number of iterations       Error on mobility      Error on occupancy                Mobility               MeanOccup          Solution check
                   10000                       1            4.220675e-08           4.2374701e-05            0.0023148182           2.2282954e-11
                   20000            8.702949e-07           3.9277563e-08           4.2005916e-05            0.0023148278             2.07261e-11
                   30000           8.2628156e-07           3.7194796e-08           4.1658829e-05            0.0023148218           1.9617896e-11
                   40000            7.922678e-07           3.5361162e-08           4.1328779e-05            0.0023148331           1.8642822e-11
                   50000           7.6117303e-07           3.3662705e-08           4.1014196e-05            0.0023148211           1.7740123e-11
                   60000            7.314765e-07           3.2070229e-08           4.0714186e-05            0.0023148366           1.6894626e-11
                   70000           7.0310128e-07           3.0570639e-08           4.0427924e-05            0.0023148368           1.6098916e-11
                   80000           6.7582603e-07           2.9154846e-08           4.0154702e-05            0.0023148246           1.5348107e-11
                   90000           6.4952532e-07           2.7815472e-08           3.9893887e-05            0.0023148252            1.463838e-11
                  100000           6.2425341e-07           2.6546266e-08           3.9644848e-05            0.0023148174           1.3966199e-11
                  100001           6.2425341e-07           2.6546142e-08           3.9644848e-05            0.0023148174           1.3966133e-11
