    Number of iterations       Error on mobility      Error on occupancy                Mobility               MeanOccup          Solution check
                   10000                       1           4.6597882e-07            0.0021311764            0.0023147969           3.7645228e-11
                   20000           3.5255992e-07           2.3646968e-07            0.0021236627            0.0023148006           2.3185762e-11
                   30000           1.0875446e-07            1.883341e-07            0.0021213531            0.0023147964           1.8458806e-11
                   40000           6.1932817e-08           1.4991846e-07            0.0021200393            0.0023148125           1.4688904e-11
                   50000           4.5162358e-08           1.1932661e-07            0.0021190818            0.0023147963           1.1686146e-11
                   60000           3.5144339e-08            9.495006e-08            0.0021183371             0.002314803           9.2966383e-12
                   70000           2.7812411e-08           7.5556405e-08            0.0021177479            0.0023147928           7.3952972e-12
                   80000           2.1984287e-08           6.0103692e-08            0.0021172824            0.0023148142           5.8833982e-12
                   90000           1.7448911e-08           4.7823657e-08            0.0021169129             0.002314814           4.6809146e-12
                  100000           1.3849561e-08           3.8070774e-08            0.0021166198            0.0023147954           3.8483378e-12
                  100001           1.3849561e-08           3.8069932e-08            0.0021166198            0.0023147954           3.8482746e-12
